地下乡愁蓝调, 马世芳, 34.00元 
海水正蓝, 张曼娟, 18.0 
吾爱梦工场: 蔡澜的电影现场, 蔡澜, 39.80元 
一峰一人一結他, 林一峰, HK$90.0 
反美學, 賀爾．福斯, NT$260 
吃南瓜的人, 亦舒, 16.00元 
悄悄的一线光, 亦舒, 18.00元 
一把青云: 亦舒系列113, 亦舒, hkd42 
書房的16種遊戲, 曲家瑞企畫, NT$320 
如何寫歷史, 理查．馬里厄斯, NT$320 
欢喜贼, （台湾）张大春, 14.80 
同性戀性史, 劉達臨, NT$499 
白话史记（上下）, 司马迁, 平4.30精5.80 
從拓跋到北魏: 北魏王朝創建歷史的考察, 張繼昊, NT320 
革命青春: 高校1968, 四方田犬彥, 2016-10-20 
青天白日旗下民國海軍的波濤起伏（1912-1945）, 金智, NT$660 
一个人的KTV, 刘若英, 26.00元 
想念: 张小娴散文精选集, 张小娴, 25.00元 
慢慢走, 王盛弘, 32.00元 
波灣戰爭不曾發生, 布希亞, NT$180 
大人的旅行記錄法, 樋口聰, NT$199 
嘘, 亦舒, 18.00元 
红颜已老, 苏伟贞, 12.00元 
也是香港人──七字頭的新移民誌, 梁以文、郭儉、趙寧志、黃思存、金曄路、陳美紅、張為群, 60 
文化想像與意識形態: 當代香港文化政治論評, 陳清僑, 1997 
创意市集2·玩心大发: 伦敦市集13位艺术家/设计师访谈录, 王怡颖, 28.00元 
經濟大蕭條時期的夢遊街, 駱以軍, 70.00元 
认得几个字, 张大春, 46.00 
特首小姐你早, 亦舒, 18.00元 
在黑暗的河流上, 席慕蓉, 20.00 
神雕侠侣, 金庸, 76.80元 
射鵰英雄傳: （全四册）, 金庸, HK$160 
鬧學記, 三毛, 220TWD 
我，睡了，81个人的沙发, 连美恩, 39.80元 
西岸陽光充沛: 西岸阳光充沛, 亦舒, 55 
就是想回家, Purple, NTD350.00 
眾聲喧嘩以後: 點評當代中文小說, 王德威, 新台币380元 
九降风, 纪培慧、林书宇、蔡宗翰原著故事, 28.00 
倚天屠龙记(共四册), 金庸, 0 
每一次相遇都是奇迹, 吴淡如, 39.80元 
蔡康永爱情短信: 未知的恋人, 蔡康永, 29.80元 
好书太多，时间太少, 莎拉．尼爾遜（文）張妙如（圖），譯／施清真, 112.00元 
白玉老虎（上下）, 古龙, 38.00元 
万水千山走遍, 三毛, 13.80 
突然十年便过去: 像永远在转圈圈的笔划, 周耀辉, 36.00元 
哲學家與狼, MarkRowlands, NT$320 
重讀石頭記, 余國藩, NT$480 
北京法源寺, 李敖, 20.00元 
6868，一起蹺班去: 彎彎塗鴉日記 2, 弯弯, NT$250.00 
此一時也彼一時也, 亦舒, 2004 
忽爾今夏, 亦舒, 1988 
手寫英文書法聖經: 從握筆、筆順到數字、符號，全方位掌握藝術美字書寫技法, JulienChazal, NTD665 
向左走·向右走, 幾米, 16.00元 
教育應該不一樣, 嚴長壽, NT$330 
厨房里的人类学家, 庄祖宜, 38.00元 
笔逗言, 何欣穗, 新台币240元 
青花瓷, 方文山, 29.00元 
拉岡與李維史陀: 1951-1957 回歸佛洛伊德, MarkosZafiropoulos、馬可．薩菲洛普洛斯, NT$350 
始皇(01), 鄭問, 200元 
我想跟你走, 刘若英, 25.00元 
京都漫遊帖: 12個月的愛戀記憶, 甲裴みのり, NT$280 
绝对小孩, 朱德庸, 28.00元 
吃马铃薯的日子, 刘绍铭, 15.00元 
殺手，迴光返照的命運, 九把刀, NTD260 
kieslowski 奇斯洛夫斯基: 10th Anniversary Special Edition, Wierzbicki, 128 
曹魏時期中央政務機關之研究: 兼论曹操与司马氏对政制之影响, 黃熾霖, 144.40元 
全球反恐戰爭, 張錫模, NT380 
曼陀罗, 亦舒, 1982 
令我討厭的涂爾幹的《社會分工論》, 孫中興, 2008年10月13日 
私房書, 簡媜, NTD200.00 
艺术.自然.自我: 克利日记选, 保罗·克利, 6.50 
香港模式: 從現在式到過去式, 呂大樂, HK$98.00 
裙子底下的劇場, 上野千鶴子, 時報出版 
时光九篇, 席慕蓉, 18.00元 
我很好, 柯裕棻, 25.00 
革命狂潮與化學家: 拉瓦锡、氧气、断头台, Bell,MadisonSmartt, NT$260 
一生承教, 小思, HK58 
